"Дата операции";"УНП";"Организация";"Действие";"Путь серверный";"Путь локальный";"Имя файла";"Размер, байт"
"09-08-2023 06:02:11";"";"Treasury";"Получение выписки прошлого дня, получение с FTP";"/BANK";"K:\B_in_out\";"725#0808.795";"44824"
"09-08-2023 08:02:12";"790195063";"Лесхоз";"Внебюджет, получение с FTP";"/790195063/";"K:\E_A_out\790195063\";"v7901950637504.700";"60609"
"09-08-2023 08:02:13";"790195063";"Лесхоз";"Внебюджет, получение с FTP";"/790195063/";"K:\E_A_out\790195063\";"v7901950637506.700";"17991"
"09-08-2023 08:02:13";"790195063";"Лесхоз";"Внебюджет, получение с FTP";"/790195063/";"K:\E_A_out\790195063\";"v7901950637507.700";"5278"
