"Дата операции";"УНП";"Организация";"Действие";"Путь серверный";"Путь локальный";"Имя файла";"Размер, байт"
"07-08-2023 08:02:12";"790195063";"Лесхоз";"Внебюджет, получение с FTP";"/790195063/";"K:\E_A_out\790195063\";"v7901950637460.700";"20649"
"07-08-2023 08:02:13";"790195063";"Лесхоз";"Внебюджет, получение с FTP";"/790195063/";"K:\E_A_out\790195063\";"v7901950637461.700";"12961"
"07-08-2023 08:12:13";"700016074";"ИМНС";"Отправлен в ИМНС, отправка на FTP";"/IMNS";"C:\Users\Admin\Downloads\ftp\700016074\";"722-700016074-179fa004-06d3-499e-8d8f-7fb76c90ee93.tar";"10240"
"07-08-2023 08:12:16";"790041382";"Водоканал";"Получение с FTP";"/790041382/";"K:\E_A_in\";"f7222615.790041382";"406"
"07-08-2023 08:14:10";"700016074";"ИМНС";"Отправлен в ИМНС, отправка на FTP";"/IMNS";"C:\Users\Admin\Downloads\ftp\700016074\";"722-700016074-219dcc2d-1c0a-4e4a-b0e5-e1699601382d.tar";"10240"
"07-08-2023 08:14:13";"790041382";"Водоканал";"Отправка на FTP";"/790041382/";"K:\E_A_out\790041382\";"d7900413820001.722";"468"
"07-08-2023 08:14:13";"790041382";"Водоканал";"Отправка на FTP";"/790041382/";"K:\E_A_out\790041382\";"d7900413828340.722";"419"
"07-08-2023 08:14:14";"790041382";"Водоканал";"Отправка на FTP";"/790041382/";"K:\E_A_out\790041382\";"d7900413828341.722";"138709"
"07-08-2023 08:14:14";"790041382";"Водоканал";"Отправка на FTP";"/790041382/";"K:\E_A_out\790041382\";"d7900413828342.722";"3060"
"07-08-2023 08:14:14";"790041382";"Водоканал";"Отправка на FTP";"/790041382/";"K:\E_A_out\790041382\";"d7900413828344.722";"289"
"07-08-2023 08:14:15";"790041382";"Водоканал";"Отправка на FTP";"/790041382/";"K:\E_A_out\790041382\";"d7900413828345.722";"259"
"07-08-2023 08:14:15";"790041382";"Водоканал";"Отправка на FTP";"/790041382/";"K:\E_A_out\790041382\";"d7900413828346.722";"215"
"07-08-2023 08:50:19";"";"Treasury";"Файловый обмен с облКазн: областной бюджет, получение с FTP";"/";"K:\PTKMAIL\MailIn\";"370100FMR.722";"25425"
"07-08-2023 08:58:12";"";"Treasury";"Файловый обмен с облКазн: республиканский бюджет, получение с FTP";"/";"K:\PTKMAIL\MailIn\";"390000BE8.722";"7506"
"07-08-2023 09:06:26";"700743012";"БРСМ";"Получение с FTP";"/700743012/";"K:\E_A_in\";"f7220579.700743012";"407"
"07-08-2023 09:08:14";"700743012";"БРСМ";"Получение с FTP";"/700743012/";"K:\E_A_in\";"p7220455.700743012";"407"
"07-08-2023 09:08:14";"700743012";"БРСМ";"Отправка на FTP";"/700743012/";"K:\E_A_out\700743012\";"d7007430129109.722";"464"
"07-08-2023 09:08:15";"700743012";"БРСМ";"Отправка на FTP";"/700743012/";"K:\E_A_out\700743012\";"d7007430129110.722";"3050"
"07-08-2023 09:08:15";"700743012";"БРСМ";"Отправка на FTP";"/700743012/";"K:\E_A_out\700743012\";"d7007430129112.722";"288"
"07-08-2023 09:08:16";"700743012";"БРСМ";"Отправка на FTP";"/700743012/";"K:\E_A_out\700743012\";"d7007430129113.722";"868"
"07-08-2023 09:08:16";"700743012";"БРСМ";"Отправка на FTP";"/700743012/";"K:\E_A_out\700743012\";"d7007430129114.722";"343"
"07-08-2023 09:08:16";"700743012";"БРСМ";"Отправка на FTP";"/700743012/";"K:\E_A_out\700743012\";"d7007430129115.722";"316"
"07-08-2023 09:08:17";"700743012";"БРСМ";"Отправка на FTP";"/700743012/";"K:\E_A_out\700743012\";"d7007430129116.722";"215"
"07-08-2023 09:10:14";"700743012";"БРСМ";"Отправка на FTP";"/700743012/";"K:\E_A_out\700743012\";"l7007430127714.722";"494"
"07-08-2023 09:10:15";"700743012";"БРСМ";"Отправка на FTP";"/700743012/";"K:\E_A_out\700743012\";"l7007430127715.722";"12844"
"07-08-2023 09:10:15";"700743012";"БРСМ";"Отправка на FTP";"/700743012/";"K:\E_A_out\700743012\";"l7007430127717.722";"288"
"07-08-2023 09:10:16";"700743012";"БРСМ";"Отправка на FTP";"/700743012/";"K:\E_A_out\700743012\";"l7007430127718.722";"258"
"07-08-2023 09:10:16";"700743012";"БРСМ";"Отправка на FTP";"/700743012/";"K:\E_A_out\700743012\";"l7007430127719.722";"333"
"07-08-2023 09:10:17";"700743012";"БРСМ";"Отправка на FTP";"/700743012/";"K:\E_A_out\700743012\";"l7007430127720.722";"316"
"07-08-2023 09:10:17";"700743012";"БРСМ";"Отправка на FTP";"/700743012/";"K:\E_A_out\700743012\";"l7007430127721.722";"215"
"07-08-2023 09:48:22";"700016074";"ИМНС";"Принят из ИМНС, получение с FTP";"/IMNS";"C:\Users\Admin\Downloads\ftp\700016074\";"700016074-722-d57c49de-4a83-49aa-8536-652653727b3c.tar";"20480"
"07-08-2023 09:50:11";"700016074";"ИМНС";"Домен ГГК Доходы ""Центра КТК"", исходящие: транзит в облКазн из ИМНС, отправка на FTP";"/IMNS2/IN";"K:\E_B_out\";"E#1#F06461D6.XML";"3684"
"07-08-2023 09:50:11";"700016074";"ИМНС";"Домен ГГК Доходы ""Центра КТК"", исходящие: транзит в облКазн из ИМНС, отправка на FTP";"/IMNS2/IN";"K:\E_B_out\";"E#1#F2EECEF7.XML";"4117"
"07-08-2023 09:52:10";"700016074";"ИМНС";"Отправлен в ИМНС, отправка на FTP";"/IMNS";"C:\Users\Admin\Downloads\ftp\700016074\";"722-700016074-414822db-a465-43dc-95d8-c7cf656cf345.tar";"10240"
"07-08-2023 09:56:10";"700016074";"ИМНС";"Домен ГГК Доходы ""Центра КТК"", входящие: транзит из облКазн для ИМНС, получение с FTP";"/IMNS2/OUT";"K:\E_B_in\";"E#25000#1AF07575.XML";"5232"
