"Дата операции";"УНП";"Организация";"Действие";"Путь серверный";"Путь локальный";"Имя файла";"Размер, байт"
"05-08-2023 06:02:12";"";"Treasury";"Получение выписки текущего дня, получение с FTP";"/BANK";"K:\G_oper\";"725M0408.795";"45624"
"05-08-2023 06:02:13";"";"Treasury";"Получение выписки прошлого дня, получение с FTP";"/BANK";"K:\B_in_out\";"725#0408.795";"45624"
"05-08-2023 08:02:14";"790195063";"Лесхоз";"Внебюджет, получение с FTP";"/790195063/";"K:\E_A_out\790195063\";"v7901950637458.700";"80880"
