"Дата операции";"УНП";"Организация";"Действие";"Путь серверный";"Путь локальный";"Имя файла";"Размер, байт"
"01-08-2023 10:00:29";"790195063";"Лесхоз";"Отправка на FTP, внебюджет";"/790195063/";"K:\E_A_in\";"w7005028.790195063";"429"
"01-08-2023 10:00:29";"790195063";"Лесхоз";"Отправка на FTP, внебюджет";"/790195063/";"K:\E_A_in\";"w7005029.790195063";"440"
"01-08-2023 10:04:11";"790195063";"Лесхоз";"Получение с FTP, внебюджет";"/790195063/";"K:\E_A_out\790195063\";"v7901950630001.700";"676"
"01-08-2023 10:04:12";"790195063";"Лесхоз";"Получение с FTP, внебюджет";"/790195063/";"K:\E_A_out\790195063\";"v7901950637371.700";"303"
"01-08-2023 10:04:12";"790195063";"Лесхоз";"Получение с FTP, внебюджет";"/790195063/";"K:\E_A_out\790195063\";"v7901950637372.700";"94698"
"01-08-2023 10:04:12";"790195063";"Лесхоз";"Получение с FTP, внебюджет";"/790195063/";"K:\E_A_out\790195063\";"v7901950637373.700";"52498"
"01-08-2023 10:04:12";"790195063";"Лесхоз";"Получение с FTP, внебюджет";"/790195063/";"K:\E_A_out\790195063\";"v7901950637374.700";"288"
"01-08-2023 10:04:13";"790195063";"Лесхоз";"Получение с FTP, внебюджет";"/790195063/";"K:\E_A_out\790195063\";"v7901950637375.700";"258"
"01-08-2023 10:04:13";"790195063";"Лесхоз";"Получение с FTP, внебюджет";"/790195063/";"K:\E_A_out\790195063\";"v7901950637376.700";"343"
"01-08-2023 10:04:13";"790195063";"Лесхоз";"Получение с FTP, внебюджет";"/790195063/";"K:\E_A_out\790195063\";"v7901950637377.700";"316"
"01-08-2023 10:04:14";"790195063";"Лесхоз";"Получение с FTP, внебюджет";"/790195063/";"K:\E_A_out\790195063\";"v7901950637378.700";"3618"
"01-08-2023 10:04:14";"790195063";"Лесхоз";"Получение с FTP, внебюджет";"/790195063/";"K:\E_A_out\790195063\";"v7901950637379.700";"233"
"01-08-2023 10:04:14";"790195063";"Лесхоз";"Получение с FTP, внебюджет";"/790195063/";"K:\E_A_out\790195063\";"v7901950637380.700";"45065"
"01-08-2023 10:04:15";"790195063";"Лесхоз";"Получение с FTP, внебюджет";"/790195063/";"K:\E_A_out\790195063\";"v7901950637381.700";"233"
"01-08-2023 10:04:16";"790201651";"МОЦИС";"Получение с FTP";"/790201651/";"K:\E_A_in\";"f7220464.790201651";"394"
"01-08-2023 10:06:21";"790201651";"МОЦИС";"Отправка на FTP";"/790201651/";"K:\E_A_out\790201651\";"d7902016512049.722";"436"
"01-08-2023 10:06:22";"790201651";"МОЦИС";"Отправка на FTP";"/790201651/";"K:\E_A_out\790201651\";"d7902016512050.722";"3050"
"01-08-2023 10:06:22";"790201651";"МОЦИС";"Отправка на FTP";"/790201651/";"K:\E_A_out\790201651\";"d7902016512052.722";"288"
"01-08-2023 10:06:23";"790201651";"МОЦИС";"Отправка на FTP";"/790201651/";"K:\E_A_out\790201651\";"d7902016512053.722";"258"
"01-08-2023 10:06:23";"790201651";"МОЦИС";"Отправка на FTP";"/790201651/";"K:\E_A_out\790201651\";"d7902016512054.722";"216"
"01-08-2023 11:08:10";"";"Treasury";"Получение выписки текущего дня";"/BANK";"K:\G_oper\";"725M0108.795";"21391"
