"Дата операции";"УНП";"Организация";"Действие";"Путь серверный";"Путь локальный";"Имя файла";"Размер, байт"
"04-08-2023 06:02:11";"";"Treasury";"Получение выписки прошлого дня, получение с FTP";"/BANK";"K:\B_in_out\";"725#0308.795";"41064"
"04-08-2023 08:02:12";"790195063";"Лесхоз";"Внебюджет, получение с FTP";"/790195063/";"K:\E_A_out\790195063\";"v7901950637443.700";"83206"
"04-08-2023 08:02:13";"790195063";"Лесхоз";"Внебюджет, получение с FTP";"/790195063/";"K:\E_A_out\790195063\";"v7901950637445.700";"20575"
"04-08-2023 08:02:13";"790195063";"Лесхоз";"Внебюджет, получение с FTP";"/790195063/";"K:\E_A_out\790195063\";"v7901950637446.700";"15747"
"04-08-2023 08:08:10";"700016074";"ИМНС";"Отправлен в ИМНС, отправка на FTP";"/IMNS";"C:\Users\Admin\Downloads\ftp\700016074\";"722-700016074-09100188-90a8-4b79-a6e0-0efd2d704b65.tar";"20480"
"04-08-2023 08:28:12";"";"Treasury";"Файловый обмен с облКазн: республиканский бюджет, получение с FTP";"/";"K:\PTKMAIL\MailIn\";"390000BE5.722";"7525"
"04-08-2023 08:40:11";"";"Treasury";"Файловый обмен с облКазн: областной бюджет, получение с FTP";"/";"K:\PTKMAIL\MailIn\";"370100FMJ.722";"23281"
"04-08-2023 09:24:19";"700016074";"ИМНС";"Принят из ИМНС, получение с FTP";"/IMNS";"C:\Users\Admin\Downloads\ftp\700016074\";"700016074-722-794e77b5-412f-4f83-bd64-030c5bcc7290.tar";"10240"
"04-08-2023 09:26:10";"700016074";"ИМНС";"Домен ГГК Доходы ""Центра КТК"", исходящие: транзит в облКазн из ИМНС, отправка на FTP";"/IMNS2/IN";"K:\E_B_out\";"E#1#28C030F3.XML";"3971"
"04-08-2023 09:28:10";"700016074";"ИМНС";"Отправлен в ИМНС, отправка на FTP";"/IMNS";"C:\Users\Admin\Downloads\ftp\700016074\";"722-700016074-562a7d85-8476-495e-8471-bfced4f9c765.tar";"10240"
"04-08-2023 09:32:22";"700016074";"ИМНС";"Домен ГГК Доходы ""Центра КТК"", входящие: транзит из облКазн для ИМНС, получение с FTP";"/IMNS2/OUT";"K:\E_B_in\";"E#25000#9337DB47.XML";"5143"
"04-08-2023 09:34:14";"700016074";"ИМНС";"Отправлен в ИМНС, отправка на FTP";"/IMNS";"C:\Users\Admin\Downloads\ftp\700016074\";"722-700016074-4a228011-d0f5-4715-abef-67eebb75642f.tar";"10240"
"04-08-2023 10:16:11";"";"Treasury";"Файловый обмен с облКазн: областной бюджет, получение с FTP";"/";"K:\PTKMAIL\MailIn\";"370100FMK.722";"2188"
"04-08-2023 10:58:11";"";"Treasury";"Получение выписки текущего дня, получение с FTP";"/BANK";"K:\G_oper\";"725M0408.795";"19023"
"04-08-2023 10:58:12";"";"Treasury";"Файловый обмен с облКазн: областной бюджет, получение с FTP";"/";"K:\PTKMAIL\MailIn\";"370100FML.722";"21738"
"04-08-2023 11:02:20";"700743012";"БРСМ";"Получение с FTP";"/700743012/";"K:\E_A_in\";"p7220453.700743012";"403"
"04-08-2023 11:04:10";"700016074";"ИМНС";"Отправлен в ИМНС, отправка на FTP";"/IMNS";"C:\Users\Admin\Downloads\ftp\700016074\";"722-700016074-2417376b-3266-4c00-b835-30a2c0d8c0a2.tar";"10240"
"04-08-2023 11:04:14";"700743012";"БРСМ";"Отправка на FTP";"/700743012/";"K:\E_A_out\700743012\";"l7007430127700.722";"494"
"04-08-2023 11:04:14";"700743012";"БРСМ";"Отправка на FTP";"/700743012/";"K:\E_A_out\700743012\";"l7007430127701.722";"12160"
"04-08-2023 11:04:14";"700743012";"БРСМ";"Отправка на FTP";"/700743012/";"K:\E_A_out\700743012\";"l7007430127703.722";"288"
"04-08-2023 11:04:15";"700743012";"БРСМ";"Отправка на FTP";"/700743012/";"K:\E_A_out\700743012\";"l7007430127704.722";"258"
"04-08-2023 11:04:15";"700743012";"БРСМ";"Отправка на FTP";"/700743012/";"K:\E_A_out\700743012\";"l7007430127705.722";"333"
"04-08-2023 11:04:16";"700743012";"БРСМ";"Отправка на FTP";"/700743012/";"K:\E_A_out\700743012\";"l7007430127706.722";"216"
"04-08-2023 11:08:10";"700016074";"ИМНС";"Отправлен в ИМНС, отправка на FTP";"/IMNS";"C:\Users\Admin\Downloads\ftp\700016074\";"722-700016074-bdb0c7de-b841-46ac-88d9-47211f12d141.tar";"10240"
"04-08-2023 11:22:12";"";"Treasury";"Файловый обмен с облКазн: республиканский бюджет, отправка на FTP";"/";"K:\PTKMAIL\MailOut\";"490000FJQ.722";"2317"
"04-08-2023 11:22:12";"";"Treasury";"Файловый обмен с облКазн: областной бюджет, отправка на FTP";"/";"K:\PTKMAIL\MailOut\";"470100JYF.722";"4584"
"04-08-2023 11:22:13";"790195063";"Лесхоз";"Внебюджет, отправка на FTP";"/790195063/";"K:\E_A_in\";"w7005038.790195063";"6939"
"04-08-2023 11:26:12";"790195063";"Лесхоз";"Внебюджет, получение с FTP";"/790195063/";"K:\E_A_out\790195063\";"v7901950637448.700";"6724"
"04-08-2023 11:26:13";"790195063";"Лесхоз";"Внебюджет, получение с FTP";"/790195063/";"K:\E_A_out\790195063\";"v7901950637449.700";"233"
"04-08-2023 11:26:14";"700743012";"БРСМ";"Получение с FTP";"/700743012/";"K:\E_A_in\";"p7220454.700743012";"403"
"04-08-2023 11:28:13";"700743012";"БРСМ";"Отправка на FTP";"/700743012/";"K:\E_A_out\700743012\";"l7007430127707.722";"494"
"04-08-2023 11:28:14";"700743012";"БРСМ";"Отправка на FTP";"/700743012/";"K:\E_A_out\700743012\";"l7007430127708.722";"12160"
"04-08-2023 11:28:14";"700743012";"БРСМ";"Отправка на FTP";"/700743012/";"K:\E_A_out\700743012\";"l7007430127710.722";"288"
"04-08-2023 11:28:14";"700743012";"БРСМ";"Отправка на FTP";"/700743012/";"K:\E_A_out\700743012\";"l7007430127711.722";"258"
"04-08-2023 11:28:15";"700743012";"БРСМ";"Отправка на FTP";"/700743012/";"K:\E_A_out\700743012\";"l7007430127712.722";"333"
"04-08-2023 11:28:15";"700743012";"БРСМ";"Отправка на FTP";"/700743012/";"K:\E_A_out\700743012\";"l7007430127713.722";"216"
"04-08-2023 11:34:12";"790195063";"Лесхоз";"Внебюджет, получение с FTP";"/790195063/";"K:\E_A_out\790195063\";"v7901950637450.700";"21729"
"04-08-2023 11:50:12";"790195063";"Лесхоз";"Внебюджет, получение с FTP";"/790195063/";"K:\E_A_out\790195063\";"v7901950637451.700";"2006"
"04-08-2023 11:58:11";"";"Treasury";"Получение выписки текущего дня, получение с FTP";"/BANK";"K:\G_oper\";"725M0408.795";"28313"
"04-08-2023 12:04:10";"700016074";"ИМНС";"Отправлен в ИМНС, отправка на FTP";"/IMNS";"C:\Users\Admin\Downloads\ftp\700016074\";"722-700016074-1cf6d057-fc41-4aa9-b05d-38cefc5e422c.tar";"10240"
"04-08-2023 12:04:12";"";"Treasury";"Файловый обмен с облКазн: областной бюджет, получение с FTP";"/";"K:\PTKMAIL\MailIn\";"370100FMM.722";"25223"
"04-08-2023 12:08:10";"700016074";"ИМНС";"Отправлен в ИМНС, отправка на FTP";"/IMNS";"C:\Users\Admin\Downloads\ftp\700016074\";"722-700016074-88a86b19-05c5-4416-a01f-95c553e624c9.tar";"10240"
"04-08-2023 12:10:12";"";"Treasury";"Файловый обмен с облКазн: областной бюджет, отправка на FTP";"/";"K:\PTKMAIL\MailOut\";"470100JYG.722";"3509"
"04-08-2023 12:26:12";"";"Treasury";"Файловый обмен с облКазн: областной бюджет, получение с FTP";"/";"K:\PTKMAIL\MailIn\";"370100FMN.722";"447590"
"04-08-2023 12:28:12";"";"Treasury";"Файловый обмен с облКазн: областной бюджет, получение с FTP";"/";"K:\PTKMAIL\MailIn\";"370100FMO.722";"425183"
"04-08-2023 12:36:19";"";"Treasury";"Файловый обмен с облКазн: областной бюджет, отправка на FTP";"/";"K:\PTKMAIL\MailOut\";"470100JYH.722";"3232"
"04-08-2023 12:58:11";"";"Treasury";"Получение выписки текущего дня, получение с FTP";"/BANK";"K:\G_oper\";"725M0408.795";"32848"
"04-08-2023 13:04:10";"700016074";"ИМНС";"Отправлен в ИМНС, отправка на FTP";"/IMNS";"C:\Users\Admin\Downloads\ftp\700016074\";"722-700016074-55b8eb22-df5a-47e4-83fd-278b3c114c7d.tar";"10240"
"04-08-2023 13:08:10";"700016074";"ИМНС";"Отправлен в ИМНС, отправка на FTP";"/IMNS";"C:\Users\Admin\Downloads\ftp\700016074\";"722-700016074-7e3b99b5-8494-49b8-bbf3-f5fe809c55a2.tar";"10240"
"04-08-2023 13:22:14";"790195063";"Лесхоз";"Внебюджет, получение с FTP";"/790195063/";"K:\E_A_out\790195063\";"v7901950637452.700";"1996"
