"Дата операции";"УНП";"Организация";"Действие";"Путь серверный";"Путь локальный";"Имя файла";"Размер, байт"
"08-08-2023 06:02:11";"";"Treasury";"Получение выписки текущего дня, получение с FTP";"/BANK";"K:\G_oper\";"725M0708.795";"56305"
"08-08-2023 06:02:12";"";"Treasury";"Получение выписки прошлого дня, получение с FTP";"/BANK";"K:\B_in_out\";"725#0708.795";"56305"
"08-08-2023 08:02:12";"790195063";"Лесхоз";"Внебюджет, получение с FTP";"/790195063/";"K:\E_A_out\790195063\";"v7901950637481.700";"65520"
"08-08-2023 08:02:12";"790195063";"Лесхоз";"Внебюджет, получение с FTP";"/790195063/";"K:\E_A_out\790195063\";"v7901950637483.700";"17722"
"08-08-2023 08:02:13";"790195063";"Лесхоз";"Внебюджет, получение с FTP";"/790195063/";"K:\E_A_out\790195063\";"v7901950637484.700";"9326"
"08-08-2023 08:04:12";"790041382";"Водоканал";"Получение с FTP";"/790041382/";"K:\E_A_in\";"f7222616.790041382";"406"
"08-08-2023 08:06:19";"790041382";"Водоканал";"Отправка на FTP";"/790041382/";"K:\E_A_out\790041382\";"d7900413820001.722";"468"
"08-08-2023 08:06:19";"790041382";"Водоканал";"Отправка на FTP";"/790041382/";"K:\E_A_out\790041382\";"d7900413828347.722";"419"
"08-08-2023 08:06:20";"790041382";"Водоканал";"Отправка на FTP";"/790041382/";"K:\E_A_out\790041382\";"d7900413828348.722";"138709"
"08-08-2023 08:06:20";"790041382";"Водоканал";"Отправка на FTP";"/790041382/";"K:\E_A_out\790041382\";"d7900413828349.722";"3060"
"08-08-2023 08:06:21";"790041382";"Водоканал";"Отправка на FTP";"/790041382/";"K:\E_A_out\790041382\";"d7900413828351.722";"289"
"08-08-2023 08:06:21";"790041382";"Водоканал";"Отправка на FTP";"/790041382/";"K:\E_A_out\790041382\";"d7900413828352.722";"259"
"08-08-2023 08:06:21";"790041382";"Водоканал";"Отправка на FTP";"/790041382/";"K:\E_A_out\790041382\";"d7900413828353.722";"215"
"08-08-2023 08:30:16";"700016074";"ИМНС";"Отправлен в ИМНС, отправка на FTP";"/IMNS";"C:\Users\Admin\Downloads\ftp\700016074\";"722-700016074-4f66d2a4-d615-425a-b153-39d6fec05242.tar";"20480"
"08-08-2023 08:32:10";"700016074";"ИМНС";"Отправлен в ИМНС, отправка на FTP";"/IMNS";"C:\Users\Admin\Downloads\ftp\700016074\";"722-700016074-864e27c4-c622-41f7-bcac-c4b8e6460e0d.tar";"10240"
"08-08-2023 08:38:12";"";"Treasury";"Файловый обмен с облКазн: республиканский бюджет, получение с FTP";"/";"K:\PTKMAIL\MailIn\";"390000BED.722";"7497"
"08-08-2023 08:44:20";"";"Treasury";"Файловый обмен с облКазн: областной бюджет, получение с FTP";"/";"K:\PTKMAIL\MailIn\";"370100FMT.722";"26085"
"08-08-2023 09:00:24";"";"Treasury";"Файловый обмен с облКазн: республиканский бюджет, отправка на FTP";"/";"K:\PTKMAIL\MailOut\";"490000FJR.722";"3776"
"08-08-2023 09:00:24";"";"Treasury";"Файловый обмен с облКазн: областной бюджет, отправка на FTP";"/";"K:\PTKMAIL\MailOut\";"470100JYS.722";"7240"
"08-08-2023 09:06:17";"700016074";"ИМНС";"Принят из ИМНС, получение с FTP";"/IMNS";"C:\Users\Admin\Downloads\ftp\700016074\";"700016074-722-59ccf391-934d-48a6-8d6d-39cc60543081.tar";"30720"
"08-08-2023 09:08:10";"700016074";"ИМНС";"Домен ГГК Доходы ""Центра КТК"", исходящие: транзит в облКазн из ИМНС, отправка на FTP";"/IMNS2/IN";"K:\E_B_out\";"E#1#30D3A8CE.XML";"3468"
"08-08-2023 09:08:11";"700016074";"ИМНС";"Домен ГГК Доходы ""Центра КТК"", исходящие: транзит в облКазн из ИМНС, отправка на FTP";"/IMNS2/IN";"K:\E_B_out\";"E#1#8CC5DE0F.XML";"3636"
"08-08-2023 09:08:11";"700016074";"ИМНС";"Домен ГГК Доходы ""Центра КТК"", исходящие: транзит в облКазн из ИМНС, отправка на FTP";"/IMNS2/IN";"K:\E_B_out\";"E#1#9747D537.XML";"4262"
"08-08-2023 09:08:11";"700016074";"ИМНС";"Домен ГГК Доходы ""Центра КТК"", исходящие: транзит в облКазн из ИМНС, отправка на FTP";"/IMNS2/IN";"K:\E_B_out\";"E#1#FA6B1FB0.XML";"3846"
"08-08-2023 09:10:10";"700016074";"ИМНС";"Отправлен в ИМНС, отправка на FTP";"/IMNS";"C:\Users\Admin\Downloads\ftp\700016074\";"722-700016074-13fb8ddd-48ed-4253-bbd9-4614af0a1878.tar";"20480"
"08-08-2023 09:14:10";"700016074";"ИМНС";"Домен ГГК Доходы ""Центра КТК"", входящие: транзит из облКазн для ИМНС, получение с FTP";"/IMNS2/OUT";"K:\E_B_in\";"E#25000#B6A08D5A.XML";"5451"
"08-08-2023 09:14:11";"700016074";"ИМНС";"Домен ГГК Доходы ""Центра КТК"", входящие: транзит из облКазн для ИМНС, получение с FTP";"/IMNS2/OUT";"K:\E_B_in\";"E#25000#C41A1355.XML";"5044"
"08-08-2023 09:14:11";"700016074";"ИМНС";"Домен ГГК Доходы ""Центра КТК"", входящие: транзит из облКазн для ИМНС, получение с FTP";"/IMNS2/OUT";"K:\E_B_in\";"E#25000#FD0EDD58.XML";"5226"
"08-08-2023 09:16:10";"700016074";"ИМНС";"Отправлен в ИМНС, отправка на FTP";"/IMNS";"C:\Users\Admin\Downloads\ftp\700016074\";"722-700016074-6d245792-61b5-4176-9946-f3f74d52c375.tar";"20480"
"08-08-2023 09:22:11";"";"Treasury";"Файловый обмен с облКазн: областной бюджет, получение с FTP";"/";"K:\PTKMAIL\MailIn\";"370100FMU.722";"14989"
"08-08-2023 10:06:13";"700016074";"ИМНС";"Отправлен в ИМНС, отправка на FTP";"/IMNS";"C:\Users\Admin\Downloads\ftp\700016074\";"722-700016074-54c8e099-c7c8-4944-8289-d87aa5f664e9.tar";"10240"
"08-08-2023 10:08:10";"700016074";"ИМНС";"Отправлен в ИМНС, отправка на FTP";"/IMNS";"C:\Users\Admin\Downloads\ftp\700016074\";"722-700016074-af47a493-359c-42e6-9d1a-a9c71ba681ce.tar";"10240"
"08-08-2023 10:52:11";"";"Treasury";"Получение выписки текущего дня, получение с FTP";"/BANK";"K:\G_oper\";"725M0808.795";"20152"
"08-08-2023 11:00:13";"700016074";"ИМНС";"Отправлен в ИМНС, отправка на FTP";"/IMNS";"C:\Users\Admin\Downloads\ftp\700016074\";"722-700016074-2cadd330-ff68-4bd4-acd8-a853070d9cf4.tar";"10240"
"08-08-2023 11:08:12";"";"Treasury";"Файловый обмен с облКазн: областной бюджет, отправка на FTP";"/";"K:\PTKMAIL\MailOut\";"470100JYT.722";"4471"
"08-08-2023 11:34:13";"790195063";"Лесхоз";"Внебюджет, получение с FTP";"/790195063/";"K:\E_A_out\790195063\";"v7901950637486.700";"17993"
"08-08-2023 11:34:14";"790195063";"Лесхоз";"Внебюджет, отправка на FTP";"/790195063/";"K:\E_A_in\";"w7005042.790195063";"426"
"08-08-2023 11:36:15";"790195063";"Лесхоз";"Внебюджет, отправка на FTP";"/790195063/";"K:\E_A_in\";"w7005041.790195063";"3482"
"08-08-2023 11:40:12";"790195063";"Лесхоз";"Внебюджет, получение с FTP";"/790195063/";"K:\E_A_out\790195063\";"v7901950630001.700";"676"
"08-08-2023 11:40:12";"790195063";"Лесхоз";"Внебюджет, получение с FTP";"/790195063/";"K:\E_A_out\790195063\";"v7901950637487.700";"3220"
"08-08-2023 11:40:13";"790195063";"Лесхоз";"Внебюджет, получение с FTP";"/790195063/";"K:\E_A_out\790195063\";"v7901950637488.700";"233"
"08-08-2023 11:40:13";"790195063";"Лесхоз";"Внебюджет, получение с FTP";"/790195063/";"K:\E_A_out\790195063\";"v7901950637489.700";"303"
"08-08-2023 11:40:13";"790195063";"Лесхоз";"Внебюджет, получение с FTP";"/790195063/";"K:\E_A_out\790195063\";"v7901950637490.700";"94698"
"08-08-2023 11:40:14";"790195063";"Лесхоз";"Внебюджет, получение с FTP";"/790195063/";"K:\E_A_out\790195063\";"v7901950637491.700";"39009"
"08-08-2023 11:40:14";"790195063";"Лесхоз";"Внебюджет, получение с FTP";"/790195063/";"K:\E_A_out\790195063\";"v7901950637492.700";"288"
"08-08-2023 11:40:14";"790195063";"Лесхоз";"Внебюджет, получение с FTP";"/790195063/";"K:\E_A_out\790195063\";"v7901950637493.700";"258"
"08-08-2023 11:40:15";"790195063";"Лесхоз";"Внебюджет, получение с FTP";"/790195063/";"K:\E_A_out\790195063\";"v7901950637494.700";"343"
"08-08-2023 11:40:15";"790195063";"Лесхоз";"Внебюджет, получение с FTP";"/790195063/";"K:\E_A_out\790195063\";"v7901950637495.700";"316"
"08-08-2023 11:40:15";"790195063";"Лесхоз";"Внебюджет, получение с FTP";"/790195063/";"K:\E_A_out\790195063\";"v7901950637496.700";"2855"
"08-08-2023 11:40:15";"790195063";"Лесхоз";"Внебюджет, получение с FTP";"/790195063/";"K:\E_A_out\790195063\";"v7901950637497.700";"233"
"08-08-2023 11:46:12";"790195063";"Лесхоз";"Внебюджет, получение с FTP";"/790195063/";"K:\E_A_out\790195063\";"v7901950637498.700";"1302"
"08-08-2023 12:08:11";"";"Treasury";"Получение выписки текущего дня, получение с FTP";"/BANK";"K:\G_oper\";"725M0808.795";"26800"
"08-08-2023 12:12:14";"700016074";"ИМНС";"Отправлен в ИМНС, отправка на FTP";"/IMNS";"C:\Users\Admin\Downloads\ftp\700016074\";"722-700016074-8f1fe784-6fba-445a-b67a-eed7ccaa83e1.tar";"10240"
"08-08-2023 13:22:14";"790195063";"Лесхоз";"Внебюджет, получение с FTP";"/790195063/";"K:\E_A_out\790195063\";"v7901950637499.700";"1430"
