"Дата операции";"УНП";"Организация";"Действие";"Путь серверный";"Путь локальный";"Имя файла";"Размер, байт"
"02-08-2023 06:02:10";"";"Treasury";"Получение выписки текущего дня";"/BANK";"K:\G_oper\";"725M0108.795";"48455"
"02-08-2023 06:02:11";"";"Treasury";"Получение выписки прошлого дня";"/BANK";"K:\B_in_out\";"725#0108.795";"48455"
"02-08-2023 08:02:11";"790195063";"Лесхоз";"Получение с FTP, внебюджет";"/790195063/";"K:\E_A_out\790195063\";"v7901950637402.700";"79862"
"02-08-2023 08:02:11";"790195063";"Лесхоз";"Получение с FTP, внебюджет";"/790195063/";"K:\E_A_out\790195063\";"v7901950637404.700";"24531"
"02-08-2023 08:02:12";"790195063";"Лесхоз";"Получение с FTP, внебюджет";"/790195063/";"K:\E_A_out\790195063\";"v7901950637405.700";"23708"
"02-08-2023 08:54:27";"790195063";"Лесхоз";"Отправка на FTP, внебюджет";"/790195063/";"K:\E_A_in\";"w7005033.790195063";"4643"
"02-08-2023 08:58:11";"790195063";"Лесхоз";"Получение с FTP, внебюджет";"/790195063/";"K:\E_A_out\790195063\";"v7901950637407.700";"4413"
"02-08-2023 08:58:11";"790195063";"Лесхоз";"Получение с FTP, внебюджет";"/790195063/";"K:\E_A_out\790195063\";"v7901950637408.700";"232"
"02-08-2023 09:54:21";"790195063";"Лесхоз";"Отправка на FTP, внебюджет";"/790195063/";"K:\E_A_in\";"w7005034.790195063";"429"
"02-08-2023 09:58:11";"790195063";"Лесхоз";"Получение с FTP, внебюджет";"/790195063/";"K:\E_A_out\790195063\";"v7901950630001.700";"676"
"02-08-2023 09:58:11";"790195063";"Лесхоз";"Получение с FTP, внебюджет";"/790195063/";"K:\E_A_out\790195063\";"v7901950637409.700";"303"
"02-08-2023 09:58:12";"790195063";"Лесхоз";"Получение с FTP, внебюджет";"/790195063/";"K:\E_A_out\790195063\";"v7901950637410.700";"94698"
"02-08-2023 09:58:12";"790195063";"Лесхоз";"Получение с FTP, внебюджет";"/790195063/";"K:\E_A_out\790195063\";"v7901950637411.700";"50946"
"02-08-2023 09:58:12";"790195063";"Лесхоз";"Получение с FTP, внебюджет";"/790195063/";"K:\E_A_out\790195063\";"v7901950637412.700";"288"
"02-08-2023 09:58:12";"790195063";"Лесхоз";"Получение с FTP, внебюджет";"/790195063/";"K:\E_A_out\790195063\";"v7901950637413.700";"258"
